day,id,time
2019-10-31,-1,-1.0
2019-11-05,0,49.86
2019-11-03,1,49.981
2019-10-31,2,49.995
2019-11-02,3,49.93
2019-11-04,4,49.975
2019-11-04,5,49.984
2019-10-31,6,49.951
2019-11-01,7,49.992
2019-11-04,8,49.961
2019-11-02,9,49.868
2019-11-02,10,49.963
2019-11-04,11,49.971
2019-11-02,12,49.895
2019-11-01,13,49.984
2019-11-02,14,49.994
2019-10-31,15,49.953
2019-11-04,16,49.964
2019-11-04,17,49.986
2019-10-31,18,49.982
2019-11-03,19,49.953
2019-11-04,20,49.936
2019-11-02,21,49.881
2019-11-03,22,49.999
2019-10-31,23,49.982
2019-10-31,24,49.957
2019-11-02,25,49.96
2019-11-04,26,49.951
2019-11-01,27,49.989
2019-10-31,28,49.948
2019-11-04,29,49.962
2019-11-04,30,49.981
2019-11-01,31,49.976
2019-11-01,32,49.929
2019-10-31,33,49.945
2019-11-01,34,49.956
2019-11-02,35,49.984
2019-11-01,36,49.975
2019-11-03,37,49.957
2019-11-04,38,49.987
2019-11-04,39,49.971
2019-11-04,40,49.983
2019-11-04,41,49.978
2019-11-01,42,49.99
2019-11-02,43,49.989
2019-11-01,44,49.972
2019-11-03,45,49.987
2019-11-05,46,49.999
2019-11-02,47,49.981
2019-11-04,48,49.998
2019-11-03,49,49.983
2019-11-05,50,49.991
2019-11-03,51,49.987
2019-11-04,52,49.944
2019-10-31,53,49.998
2019-11-05,54,49.983
2019-11-03,55,49.921
2019-10-31,56,49.996
2019-11-03,57,49.963
2019-11-02,58,49.935
2019-11-04,59,49.793
2019-11-01,60,49.993
2019-10-31,61,49.954
2019-11-04,62,49.998
2019-11-02,63,49.975
2019-10-31,64,49.955
2019-11-04,65,49.996
2019-10-31,66,49.998
2019-11-01,67,49.877
2019-11-02,68,49.975
2019-10-31,69,49.98
2019-11-04,70,49.998
2019-11-04,71,49.975
2019-11-02,72,49.997
2019-11-03,73,49.986
2019-11-01,74,49.972
2019-11-02,75,49.999
2019-11-01,76,50.0
2019-10-31,77,49.98
2019-11-04,78,49.922
2019-11-03,79,49.992
2019-11-04,80,49.953
2019-11-02,81,49.989
2019-11-03,82,49.951
2019-11-01,83,49.997
2019-11-04,84,49.953
2019-11-03,85,49.983
2019-10-31,86,49.939
2019-11-02,87,49.903
2019-11-02,88,49.811
2019-11-01,89,49.978
2019-11-02,90,49.924
2019-11-01,91,49.981
2019-10-31,92,49.992
2019-11-01,93,49.872
2019-11-04,94,49.983
2019-10-31,95,49.882
2019-10-31,96,49.982
2019-11-05,97,49.797
2019-11-01,98,49.69
2019-10-31,99,49.891
2019-10-31,100,49.59
2019-11-02,101,49.991
2019-11-03,102,49.902
2019-10-31,103,49.965
2019-11-03,104,49.97
2019-11-04,105,49.971
2019-11-01,106,49.866
2019-11-01,107,49.941
2019-11-02,108,49.984
2019-10-31,109,49.94
2019-10-31,110,49.975
2019-11-01,111,49.995
2019-11-02,112,49.766
2019-11-01,113,49.985
2019-11-02,114,49.811
2019-11-03,115,49.815
2019-11-03,116,49.686
2019-11-04,117,49.972
2019-11-01,118,49.984
2019-11-02,119,49.82
2019-11-04,120,49.84
2019-11-03,121,49.886
2019-10-31,122,49.962
2019-11-01,123,49.988
2019-11-02,124,49.848
2019-10-31,125,49.931
2019-11-04,126,49.965
2019-11-04,127,49.976
2019-11-01,128,49.679
2019-11-04,129,49.956
2019-11-01,130,49.376
2019-11-04,131,49.946
2019-11-04,132,49.952
2019-11-01,133,49.927
2019-11-02,134,49.949
2019-11-01,135,49.948
2019-11-02,136,49.082
2019-11-04,137,49.739
2019-11-05,138,49.841
2019-10-31,139,49.708
2019-11-04,140,49.664
2019-11-04,141,49.813
2019-11-02,142,49.858
2019-11-03,143,49.84
2019-11-02,144,49.761
2019-11-01,145,49.838
2019-11-04,146,49.915
2019-11-04,147,49.905
2019-11-03,148,49.703
2019-11-03,149,49.74
2019-11-01,150,49.859
2019-11-04,151,49.524
2019-11-04,152,49.973
2019-11-02,153,49.591
2019-11-04,154,49.368
2019-11-03,155,49.792
2019-10-31,156,49.66
2019-11-04,157,49.976
2019-11-02,158,49.98
2019-11-04,159,49.809
2019-10-31,160,49.983
2019-11-02,161,49.982
2019-11-01,162,49.919
2019-11-01,163,49.995
2019-11-05,164,49.871
2019-11-03,165,49.789
2019-11-01,166,49.991
2019-10-31,167,49.92
2019-11-01,168,49.654
2019-11-02,169,49.724
2019-10-31,170,49.318
2019-11-03,171,49.951
2019-10-31,172,49.83
2019-11-03,173,49.721
2019-11-02,174,49.44
2019-11-01,175,49.939
2019-11-01,176,49.96
2019-11-02,177,49.278
2019-11-02,178,49.843
2019-11-04,179,49.782
2019-10-31,180,49.811
2019-11-02,181,49.523
2019-10-31,182,49.583
2019-11-04,183,49.809
2019-11-01,184,49.739
2019-11-03,185,49.96
2019-11-03,186,49.869
2019-10-31,187,49.969
2019-11-04,188,49.896
2019-11-02,189,49.983
2019-11-02,190,49.995
2019-10-31,191,49.608
2019-11-02,192,49.957
2019-11-03,193,49.725
2019-10-31,194,49.804
2019-10-31,195,49.937
2019-11-01,196,49.847
2019-11-04,197,49.488
2019-11-03,198,49.891
2019-11-03,199,49.807
